ano,sigla_uf,id_municipio,grupo,quantidade_homicidio_doloso,quantidade_latrocinio,quantidade_lesao_corporal_morte,quantidade_mortes_policiais_confronto,quantidade_mortes_intervencao_policial,quantidade_mortes_intervencao_policial_civil_em_servico,quantidade_mortes_intervencao_policial_militar_em_servico,quantidade_mortes_intervencao_policial_civil_fora_de_servico,quantidade_mortes_intervencao_policial_militar_fora_de_servico,quantidade_mortes_violentas_intencionais,quantidade_feminicidio,quantidade_lesao_corporal_dolosa_violencia_domestica,quantidade_estupro,quantidade_roubo_veiculos,quantidade_furto_veiculos,quantidade_roubo_furto_veiculos,proporcao_mortes_intenvencao_policial_x_mortes_violentas_intencionais,quantidade_posse_ilegal_arma_de_fogo,quantidade_porte_ilegal_arma_de_fogo,quantidade_posse_ilegal_porte_ilegal_arma_de_fogo,quantidade_trafico_entorpecente,quantidade_posse_uso_entorpecente,quantidade_morte_policiais_civis_confronto_em_servico,quantidade_morte_policiais_militares_confronto_em_servico,quantidade_morte_policiais_civis_fora_de_servico,quantidade_morte_policiais_militares_fora_de_servico
2016,AL,2704302,Grupo 1,449,21,2,5,59,0,57,0,2,531,,,155,1233,305,1538,11.0,,,,,,0,2,1,2
2016,CE,2304400,Grupo 1,965,27,15,8,39,1,23,0,7,1046,,,458,6415,2820,9235,3.0,,,,,,0,1,2,5
2016,ES,3205309,Grupo 1,51,0,3,0,9,1,6,0,2,63,,,25,227,338,565,14.0,,,,,,0,0,0,0
2016,GO,5208707,Grupo 1,452,33,14,3,100,0,76,0,24,599,,,161,7298,3733,11031,16.0,,,,,,0,0,0,3
2016,MA,2111300,Grupo 1,498,23,12,1,27,0,27,0,0,560,,,224,1678,487,2165,4.0,,,,,,0,0,0,1
2016,MT,5103403,Grupo 1,196,18,4,3,,0,,0,,218,,,353,1430,1158,2588,,,,,,,0,1,0,2
2016,PA,1501402,Grupo 1,878,41,20,10,39,,,,,978,,,481,1904,1012,2916,3.0,,,,,,0,1,2,7
2016,PB,2507507,Grupo 1,341,8,1,4,5,1,4,0,0,350,,,92,,,813,1.0,,,,,,0,2,1,1
2016,PE,2611606,Grupo 1,624,5,11,6,15,,,,,640,,,446,3461,1520,4981,2.0,,,,,,0,0,1,5
2016,PI,2211001,Grupo 1,341,22,4,1,7,0,2,1,4,367,,,226,2483,1104,3587,1.0,,,,,,0,0,0,1
